Solution via 4th Order Runge-Kutta Method.
t_inicial = 0, total steps = 1000, t_final = 50
Stept X Y Z
316 15.8 0.0749612 0.0742582 0.00224565
317 15.85 0.0746106 0.073911 0.00222465
318 15.9 0.0742616 0.0735655 0.00220386
319 15.95 0.0739144 0.0732216 0.00218327
320 16 0.0735689 0.0728795 0.00216287
321 16.05 0.073225 0.072539 0.00214267
322 16.1 0.0728828 0.0722001 0.00212266
323 16.15 0.0725423 0.0718629 0.00210284
324 16.2 0.0722034 0.0715274 0.00208321
325 16.25 0.0718662 0.0711935 0.00206377
326 16.3 0.0715307 0.0708612 0.00204451
327 16.35 0.0711967 0.0705305 0.00202544
328 16.4 0.0708644 0.0702014 0.00200655
329 16.45 0.0705337 0.0698739 0.00198784
330 16.5 0.0702046 0.069548 0.0019693
331 16.55 0.0698771 0.0692237 0.00195095
332 16.6 0.0695512 0.0689009 0.00193277
333 16.65 0.0692269 0.0685798 0.00191476
334 16.7 0.0689041 0.0682601 0.00189692
335 16.75 0.0685829 0.067942 0.00187925
336 16.8 0.0682632 0.0676255 0.00186175
337 16.85 0.0679451 0.0673105 0.00184442
338 16.9 0.0676286 0.066997 0.00182725
339 16.95 0.0673135 0.066685 0.00181024
340 17 0.067 0.0663745 0.0017934
341 17.05 0.066688 0.0660655 0.00177671
342 17.1 0.0663775 0.065758 0.00176018
343 17.15 0.0660685 0.065452 0.00174381
344 17.2 0.065761 0.0651475 0.0017276
345 17.25 0.065455 0.0648444 0.00171154
346 17.3 0.0651504 0.0645428 0.00169563
347 17.35 0.0648473 0.0642426 0.00167987
348 17.4 0.0645457 0.0639439 0.00166426
349 17.45 0.0642455 0.0636466 0.0016488
350 17.5 0.0639468 0.0633507 0.00163348
351 17.55 0.0636495 0.0630563 0.00161831
352 17.6 0.0633536 0.0627632 0.00160328
353 17.65 0.0630591 0.0624716 0.00158839
354 17.7 0.0627661 0.0621814 0.00157365
355 17.75 0.0624744 0.0618925 0.00155904
356 17.8 0.0621842 0.0616051 0.00154457
357 17.85 0.0618953 0.061319 0.00153024
358 17.9 0.0616078 0.0610343 0.00151604
359 17.95 0.0613217 0.0607509 0.00150198
360 18 0.061037 0.0604689 0.00148805
361 18.05 0.0607537 0.0601883 0.00147425
362 18.1 0.0604716 0.059909 0.00146058
363 18.15 0.060191 0.059631 0.00144704
364 18.2 0.0599117 0.0593543 0.00143363
365 18.25 0.0596337 0.059079 0.00142034
366 18.3 0.059357 0.058805 0.00140718
367 18.35 0.0590817 0.0585323 0.00139414
368 18.4 0.0588076 0.0582609 0.00138123
369 18.45 0.0585349 0.0579908 0.00136843
370 18.5 0.0582635 0.0577219 0.00135576
371 18.55 0.0579934 0.0574544 0.00134321
372 18.6 0.0577245 0.0571881 0.00133077
373 18.65 0.057457 0.0569231 0.00131845
374 18.7 0.0571907 0.0566593 0.00130624
375 18.75 0.0569256 0.0563969 0.00129416
376 18.8 0.0566619 0.0561356 0.00128218
377 18.85 0.0563994 0.0558756 0.00127032
378 18.9 0.0561381 0.0556168 0.00125856
379 18.95 0.0558781 0.0553593 0.00124692
380 19 0.0556193 0.0551029 0.00123539
381 19.05 0.0553617 0.0548478 0.00122396
382 19.1 0.0551054 0.0545939 0.00121264
383 19.15 0.0548503 0.0543412 0.00120143
384 19.2 0.0545964 0.0540898 0.00119033
385 19.25 0.0543437 0.0538394 0.00117932
386 19.3 0.0540922 0.0535903 0.00116842
387 19.35 0.0538418 0.0533424 0.00115762
388 19.4 0.0535927 0.0530956 0.00114693
389 19.45 0.0533447 0.05285 0.00113633
390 19.5 0.053098 0.0526056 0.00112583
391 19.55 0.0528524 0.0523623 0.00111543
392 19.6 0.0526079 0.0521202 0.00110513
393 19.65 0.0523646 0.0518792 0.00109492
394 19.7 0.0521225 0.0516393 0.00108481
395 19.75 0.0518815 0.0514006 0.0010748
396 19.8 0.0516416 0.051163 0.00106487
